year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,fi,de,fi,de,0,,
2008,final,fi,pl,fi,pl,0,,
2008,final,fi,gb,fi,gb,0,,
2008,final,fr,ru,fr,ru,1,,
2008,final,fr,ua,fr,ua,0,,
2008,final,fr,gr,fr,gr,3,,
2008,final,fr,am,fr,am,12,,
2008,final,fr,no,fr,no,0,,
2008,final,fr,rs,fr,rs,7,,
2008,final,fr,tr,fr,tr,10,,
2008,final,fr,az,fr,az,0,,
2008,final,fr,il,fr,il,6,,
2008,final,fr,ba,fr,ba,2,,
2008,final,fr,ge,fr,ge,0,,
2008,final,fr,lv,fr,lv,0,,
2008,final,fr,pt,fr,pt,8,,
2008,final,fr,is,fr,is,0,,
2008,final,fr,dk,fr,dk,0,,
2008,final,fr,es,fr,es,5,,
2008,final,fr,al,fr,al,0,,
2008,final,fr,se,fr,se,0,,
2008,final,fr,fr,fr,fr,0,,
2008,final,fr,ro,fr,ro,4,,
2008,final,fr,hr,fr,hr,0,,
2008,final,fr,fi,fr,fi,0,,
2008,final,fr,de,fr,de,0,,
2008,final,fr,pl,fr,pl,0,,
2008,final,fr,gb,fr,gb,0,,
2008,final,ge,ru,ge,ru,8,,
2008,final,ge,ua,ge,ua,10,,
2008,final,ge,gr,ge,gr,4,,
2008,final,ge,am,ge,am,12,,
2008,final,ge,no,ge,no,5,,
2008,final,ge,rs,ge,rs,0,,
2008,final,ge,tr,ge,tr,6,,
2008,final,ge,az,ge,az,7,,
2008,final,ge,il,ge,il,3,,
2008,final,ge,ba,ge,ba,0,,
2008,final,ge,ge,ge,ge,0,,
2008,final,ge,lv,ge,lv,2,,
2008,final,ge,pt,ge,pt,0,,
2008,final,ge,is,ge,is,0,,
2008,final,ge,dk,ge,dk,0,,
2008,final,ge,es,ge,es,0,,
2008,final,ge,al,ge,al,0,,
2008,final,ge,se,ge,se,0,,
2008,final,ge,fr,ge,fr,0,,
2008,final,ge,ro,ge,ro,0,,
2008,final,ge,hr,ge,hr,1,,
2008,final,ge,fi,ge,fi,0,,
2008,final,ge,de,ge,de,0,,
2008,final,ge,pl,ge,pl,0,,
2008,final,ge,gb,ge,gb,0,,
2008,final,de,ru,de,ru,7,,
2008,final,de,ua,de,ua,0,,
2008,final,de,gr,de,gr,12,,
2008,final,de,am,de,am,6,,
2008,final,de,no,de,no,0,,
2008,final,de,rs,de,rs,8,,
2008,final,de,tr,de,tr,10,,
2008,final,de,az,de,az,1,,
2008,final,de,il,de,il,3,,
2008,final,de,ba,de,ba,5,,
2008,final,de,ge,de,ge,0,,
2008,final,de,lv,de,lv,0,,
2008,final,de,pt,de,pt,4,,
2008,final,de,is,de,is,0,,
2008,final,de,dk,de,dk,0,,
2008,final,de,es,de,es,0,,
2008,final,de,al,de,al,0,,
2008,final,de,se,de,se,0,,
2008,final,de,fr,de,fr,0,,
2008,final,de,ro,de,ro,0,,
2008,final,de,hr,de,hr,2,,
2008,final,de,fi,de,fi,0,,
2008,final,de,de,de,de,0,,
2008,final,de,pl,de,pl,0,,
2008,final,de,gb,de,gb,0,,
